N, M, N_CPU, EST_FREQ, runtime_pl, runtime_py, runtime_py_minus_pl
10, 10000, 1, 0.25, 3, 1, -2
10, 10000, 1, NONE, 2, 1, -1
10, 50000, 1, 0.25, 2, 1, -1
10, 50000, 1, NONE, 6, 1, -5
20, 10000, 1, 0.25, 3, 1, -2
20, 10000, 1, NONE, 4, 2, -2
20, 50000, 1, 0.25, 5, 3, -2
20, 50000, 1, NONE, 7, 6, -1
40, 10000, 1, 0.25, 4, 4, 0
40, 10000, 1, NONE, 5, 6, 1
40, 50000, 1, 0.25, 12, 9, -3
40, 50000, 1, NONE, 21, 25, 4
10, 10000, 2, 0.25, 3, 0, -3
10, 10000, 2, NONE, 3, 0, -3
10, 50000, 2, 0.25, 3, 0, -3
10, 50000, 2, NONE, 4, 1, -3
20, 10000, 2, 0.25, 3, 1, -2
20, 10000, 2, NONE, 3, 1, -2
20, 50000, 2, 0.25, 4, 2, -2
20, 50000, 2, NONE, 7, 4, -3
40, 10000, 2, 0.25, 4, 3, -1
40, 10000, 2, NONE, 6, 5, -1
40, 50000, 2, 0.25, 13, 6, -7
40, 50000, 2, NONE, 21, 14, -7
10, 10000, 3, 0.25, 3, 0, -3
10, 10000, 3, NONE, 3, 0, -3
10, 50000, 3, 0.25, 3, 1, -2
10, 50000, 3, NONE, 3, 1, -2
20, 10000, 3, 0.25, 3, 0, -3
20, 10000, 3, NONE, 4, 1, -3
20, 50000, 3, 0.25, 4, 2, -2
20, 50000, 3, NONE, 7, 3, -4
40, 10000, 3, 0.25, 4, 2, -2
40, 10000, 3, NONE, 6, 5, -1
40, 50000, 3, 0.25, 13, 5, -8
40, 50000, 3, NONE, 23, 14, -9
